 ;1960;1961;1962;1963;1964;1965;1966;;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
St. Kitts and Nevis;218.3;221.9;226.4;235.9;251.9;261.3;285.5;;339.8;305.6;343.6;362.5;440.2;516.6;546.9;715.3;760.2;688.1;1,020.5;1,137.3;1,359.6;1,588.5;1,883.2;2,010.1;2,039.3;2,326.7;2,634.0;3,119.8;3,550.2;4,179.3;4,696.5;5,346.5;5,439.8;5,920.2;6,363.7;7,027.4;7,367.5;7,748.7;8,581.7;8,665.1;9,070.7;9,276.0;9,973.6;10,398.5;10,119.7;10,882.4;11,711.2;13,747.8;14,661.0;16,491.9;16,374.3;16,427.6;17,572.0;17,293.8;18,315.9;19,945.3;20,025.7;21,079.5;22,148.5;22,533.9;23,205.0;18,553.7;18,035.4;20,262.3;..
St. Lucia;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;1,400.7;1,569.3;1,452.8;1,534.1;1,925.2;2,142.7;2,522.1;2,745.7;3,098.4;3,464.9;4,073.3;4,253.9;4,603.7;4,608.6;4,740.3;5,008.0;5,123.7;5,184.3;5,593.7;5,825.1;5,847.0;5,558.1;5,562.5;6,056.0;6,494.6;6,866.1;7,618.9;7,975.8;8,528.7;8,259.3;8,672.2;9,110.8;9,231.6;9,542.7;10,007.1;10,290.4;10,574.4;11,270.5;11,563.8;11,773.4;8,951.5;10,916.2;13,030.9;..
St. Martin (French part);..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;21,344.6;..;..;21,920.0;..;..;..;..;19,691.6;..;20,320.7;..;..
St. Vincent and the Grenadines;155.3;163.4;166.6;154.7;163.9;165.1;173.2;;167.8;160.3;171.4;187.4;201.1;273.6;296.0;319.8;320.0;313.2;467.8;572.7;665.2;766.1;943.6;1,043.9;1,114.6;1,223.8;1,313.2;1,444.0;1,570.9;1,791.0;1,911.9;2,136.8;2,259.5;2,455.0;2,519.8;2,540.2;2,767.8;2,900.4;3,043.2;3,272.6;3,427.5;3,760.1;4,066.1;4,299.4;4,500.9;4,883.3;5,176.1;5,775.1;6,439.0;6,641.5;6,503.1;6,591.0;6,566.5;6,754.4;7,117.6;7,210.6;7,386.7;7,684.8;7,996.6;8,399.7;8,680.3;8,306.4;8,360.1;9,125.3;..
Sudan;100.3;106.2;112.3;111.3;111.2;112.6;112.5;;118.8;120.8;129.6;143.5;152.0;160.1;192.3;238.9;280.3;336.6;404.1;421.6;419.7;429.0;495.5;387.8;354.2;439.6;333.4;408.5;481.3;568.8;842.0;1,301.8;1,678.1;263.0;326.7;459.4;483.7;307.8;388.8;366.1;339.3;378.2;471.4;529.5;607.0;737.1;945.7;1,179.9;1,500.7;1,585.6;1,382.6;1,706.4;1,982.8;1,797.4;1,834.6;2,076.0;2,226.4;2,614.3;3,188.8;769.9;748.0;608.3;749.7;1,102.1;..
Suriname;371.3;387.5;402.9;420.8;433.1;480.1;573.1;;642.3;679.0;706.3;723.6;767.8;784.7;856.5;1,038.9;1,187.1;1,298.7;1,662.7;1,926.0;2,073.6;2,119.4;2,365.2;2,425.2;2,328.6;2,258.1;2,254.8;2,270.8;2,469.3;2,887.1;1,328.7;941.0;1,077.2;964.4;1,015.1;1,419.5;1,591.7;1,940.8;2,045.6;2,405.7;1,883.9;1,978.4;1,711.7;2,206.3;2,529.3;2,906.7;3,474.1;5,031.2;5,562.3;6,616.8;7,176.9;7,999.5;8,009.3;8,923.0;9,124.5;9,199.2;8,907.8;5,705.4;6,112.9;6,730.8;6,690.0;4,796.5;5,026.9;5,858.8;..
Eswatini;101.7;121.9;127.2;146.5;171.7;181.0;192.7;;182.5;189.8;244.4;253.2;300.0;313.9;461.7;534.4;565.8;518.7;560.7;608.0;711.6;905.5;926.3;847.3;847.2;730.1;512.6;615.1;769.9;871.1;843.8;1,305.2;1,299.4;1,388.7;1,423.4;1,488.1;1,781.7;1,646.2;1,732.8;1,568.8;1,520.0;1,686.7;1,481.2;1,363.0;2,075.6;2,599.2;2,965.0;3,053.9;3,200.5;3,022.5;3,270.1;4,035.5;4,361.0;4,396.6;4,111.1;3,928.5;3,583.3;3,340.0;3,824.0;4,021.4;3,818.5;3,372.9;4,068.6;3,986.9;..
Sweden;2,114.0;2,288.9;2,468.7;2,657.0;2,941.0;3,206.1;3,454.4;;3,720.9;3,926.4;4,234.2;4,736.2;5,132.7;6,027.1;7,301.2;8,089.9;10,117.3;10,868.3;11,448.6;12,620.5;14,877.2;17,097.8;15,586.4;13,739.0;12,608.2;13,099.0;13,666.9;17,981.0;21,792.6;24,534.7;25,662.2;30,593.7;31,822.8;32,801.0;24,425.3;26,083.6;30,283.0;32,999.0;30,312.5;30,596.5;30,941.1;29,624.9;27,247.9;29,899.2;37,321.8;42,821.7;43,437.1;46,593.6;53,700.0;56,152.6;46,947.0;52,869.0;60,755.8;58,037.8;61,126.9;60,020.4;51,545.5;51,965.2;53,791.5;54,589.1;51,939.4;52,837.9;61,417.7;56,424.3;..
Switzerland;1,787.4;1,971.3;2,131.4;2,294.2;2,501.3;2,620.5;2,784.7;;2,960.7;3,121.9;3,344.8;..;..;..;..;..;..;..;..;..;..;19,393.9;17,665.0;18,000.0;17,859.2;16,991.2;17,152.1;24,459.9;30,440.5;32,690.4;31,308.7;39,574.5;39,544.5;40,713.7;39,237.1;43,091.8;50,113.8;48,092.6;41,584.4;42,680.6;41,695.7;38,865.0;39,638.8;42,458.7;49,335.7;54,659.5;56,242.9;59,011.0;64,989.2;74,175.2;71,568.3;76,531.4;90,476.8;85,836.2;87,304.3;88,725.0;83,806.4;82,153.1;82,254.4;85,217.4;84,121.9;85,897.8;93,446.4;93,259.9;..
Syrian Arab Republic;186.0;198.9;226.9;237.9;257.5;247.7;238.4;;252.3;264.2;294.0;281.7;320.8;356.9;368.3;585.9;742.5;827.2;857.1;993.0;1,154.5;1,467.9;1,820.9;1,842.7;1,898.5;1,885.0;2,011.6;2,334.2;2,884.3;1,421.7;1,546.4;1,926.4;2,171.5;2,516.4;2,722.9;3,238.4;3,553.7;4,184.3;4,397.5;4,542.9;4,589.0;4,941.9;5,187.2;5,276.1;5,433.6;6,241.1;7,221.6;7,914.8;8,695.8;10,156.0;10,288.1;11,304.6;2,971.3;1,910.6;993.7;1,071.2;857.5;664.3;862.3;1,111.9;1,124.5;537.1;420.6;..;..
Tajikistan;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;485.3;456.5;337.5;288.0;262.2;208.2;172.9;150.6;214.4;175.6;137.2;168.6;186.7;233.1;305.3;333.7;401.0;517.4;704.7;666.7;740.3;837.9;959.4;1,038.3;1,094.4;970.4;801.4;844.4;850.7;889.0;852.3;916.7;1,054.2;..
Tanzania;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;211.1;178.1;167.1;189.6;171.6;153.9;156.8;176.9;214.6;248.7;387.0;390.4;399.5;394.4;400.2;419.6;447.6;480.2;472.6;539.5;671.2;688.7;730.8;768.9;854.5;954.7;1,013.4;929.8;942.9;975.9;1,011.6;1,050.9;1,104.2;1,146.0;1,192.8;..
Thailand;103.8;110.7;117.2;121.6;129.6;141.9;165.6;;171.7;179.9;192.5;198.0;200.4;216.1;278.8;343.4;363.8;405.5;461.7;548.0;611.5;707.4;745.7;767.1;822.7;842.1;768.9;836.1;963.0;1,154.6;1,330.0;1,545.3;1,751.1;1,957.4;2,230.8;2,502.7;2,848.6;3,039.9;2,462.4;1,841.0;2,028.6;2,004.1;1,890.0;2,091.2;2,350.8;2,647.3;2,876.2;3,343.8;3,934.7;4,327.8;4,154.2;4,996.4;5,396.6;5,748.6;6,041.1;5,822.4;5,708.8;5,854.5;6,436.8;7,124.6;7,628.6;7,001.8;7,060.9;6,910.0;..
Timor-Leste;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;417.7;534.7;516.1;529.2;465.9;476.9;456.3;532.5;621.7;682.2;810.2;936.7;1,020.1;1,201.6;1,221.7;1,322.9;1,349.5;1,285.5;1,241.2;1,583.1;1,663.6;2,742.0;2,389.3;..
Togo;73.4;75.3;77.5;82.5;93.7;102.9;114.8;;118.4;118.7;126.3;115.6;126.4;144.0;170.0;228.7;246.0;241.0;295.5;306.0;323.0;400.4;328.9;271.8;244.9;222.2;228.5;308.5;352.4;377.4;359.5;420.1;401.6;412.3;302.4;240.1;306.0;329.6;326.4;335.7;323.9;297.9;288.1;323.1;390.3;406.1;399.4;400.3;621.7;735.9;738.0;722.2;803.5;781.6;847.4;877.2;770.1;792.4;813.4;873.6;848.3;886.7;976.7;942.6;..
Tonga;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;347.8;316.4;356.2;432.0;462.8;550.7;642.7;640.3;627.6;662.2;618.8;702.5;838.5;1,089.0;1,081.0;1,150.3;1,335.2;1,380.9;1,392.0;1,965.2;2,089.2;2,216.7;2,135.9;1,889.7;1,953.4;1,996.5;1,754.8;1,760.7;1,937.0;2,196.0;2,478.4;2,752.0;2,799.4;3,221.1;2,915.5;3,416.1;3,852.1;4,378.6;4,208.2;4,125.4;4,117.9;3,978.4;4,367.3;4,649.6;4,879.0;4,606.0;4,426.0;..;..
Trinidad and Tobago;632.4;676.2;702.6;755.6;779.4;793.3;767.8;;797.3;784.2;796.2;831.1;896.6;1,069.4;1,274.9;1,962.9;2,317.5;2,341.9;2,901.6;3,248.6;4,137.7;5,528.9;6,118.9;7,034.9;6,628.5;6,547.5;6,147.7;3,941.6;3,896.1;3,613.0;3,441.4;4,001.5;4,159.1;4,231.5;3,608.6;3,801.5;4,074.9;4,385.1;4,352.8;4,569.7;5,130.9;6,120.9;6,592.8;6,692.8;8,352.5;9,756.5;11,673.8;13,340.9;15,627.3;20,011.1;13,682.8;15,711.6;17,910.3;19,110.1;19,927.4;20,473.4;18,508.8;16,139.1;16,258.7;16,328.1;15,642.4;13,705.9;16,056.3;19,629.5;..
Tunisia;..;..;..;..;..;222.3;228.8;;232.9;253.8;262.4;285.1;325.2;420.6;499.8;631.7;750.4;760.2;838.6;954.2;1,120.4;1,329.3;1,249.8;1,176.2;1,177.6;1,134.0;1,124.9;1,174.9;1,231.4;1,251.3;1,223.5;1,456.2;1,516.3;1,760.5;1,627.3;1,709.8;1,940.0;2,077.0;2,170.6;2,253.0;2,344.0;2,170.5;2,207.7;2,292.5;2,693.2;3,029.8;3,106.6;3,279.1;3,678.1;4,200.2;4,029.5;4,241.0;4,361.9;4,233.9;4,308.3;4,398.6;3,960.9;3,796.1;3,569.7;3,577.2;3,477.8;3,497.7;3,807.2;3,747.4;..
Turkiye;275.0;282.7;307.3;347.2;365.1;381.4;438.3;;473.7;516.5;560.6;502.6;444.6;555.3;683.7;911.2;1,160.5;1,270.3;1,418.0;1,558.5;2,075.0;1,561.0;1,582.4;1,400.9;1,314.2;1,245.9;1,367.2;1,506.7;1,701.3;1,738.4;2,009.7;2,773.3;2,730.1;2,825.9;3,148.8;2,240.6;2,855.0;3,009.7;3,098.7;4,433.4;4,057.8;4,278.3;3,100.5;3,640.8;4,704.8;6,031.8;7,369.4;8,003.8;9,711.2;10,843.5;9,013.0;10,622.7;11,300.8;11,713.3;12,578.2;12,165.2;11,050.0;10,970.0;10,695.6;9,568.8;9,215.4;8,638.7;9,743.2;10,674.5;..
Turkmenistan;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;728.8;765.9;773.2;806.4;771.9;815.0;789.0;619.6;587.3;553.1;561.5;588.0;544.4;635.7;762.6;949.6;1,256.0;1,418.8;1,658.7;2,074.4;2,520.3;3,778.7;3,901.7;4,286.9;5,453.2;6,441.9;7,049.8;7,685.5;6,208.3;6,163.3;6,354.5;6,721.3;7,344.9;7,330.4;7,885.3;8,792.5;..
Turks and Caicos Islands;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;18,323.9;17,803.1;18,848.8;21,233.9;24,115.3;28,728.6;29,446.1;31,459.5;24,602.9;23,103.9;23,649.7;22,666.4;22,451.6;24,040.9;25,783.3;26,995.0;25,659.2;26,832.0;27,795.1;20,882.3;23,158.6;24,917.6;..
Tuvalu;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;961.1;1,001.2;1,029.2;1,012.0;1,138.9;1,150.3;1,283.4;1,318.9;1,324.2;1,419.8;1,564.0;1,451.5;1,752.8;2,012.4;2,328.5;2,311.3;2,402.5;2,803.2;3,103.0;2,697.6;3,043.2;3,663.3;3,625.0;3,536.9;3,556.4;3,384.4;3,836.1;4,181.4;4,419.3;4,940.1;4,674.9;5,372.8;5,221.5;..
Uganda;55.5;56.3;55.6;62.1;68.8;100.2;101.6;;103.0;107.0;116.8;122.1;133.5;137.0;152.7;183.7;201.1;203.2;237.4;190.5;164.4;93.7;98.6;156.9;157.4;247.3;234.0;253.3;392.5;394.7;309.9;244.8;182.8;152.0;165.5;198.3;278.3;284.5;286.6;292.2;257.7;257.8;235.9;241.9;250.7;292.5;330.6;346.8;401.7;473.3;799.9;824.7;837.1;796.7;819.8;897.5;864.2;753.7;766.2;793.1;823.0;846.9;883.5;964.4;..
Ukraine;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1,265.4;1,452.7;1,559.3;1,532.5;1,474.3;1,417.2;1,258.1;1,012.1;936.0;872.7;991.2;835.2;635.8;658.3;807.8;911.9;1,087.8;1,416.6;1,894.5;2,391.3;3,197.9;4,066.5;2,639.4;3,078.4;3,704.8;4,004.8;4,187.7;3,104.7;2,124.7;2,187.7;2,638.3;3,096.6;3,661.5;3,751.7;4,827.8;4,534.0;..
United Arab Emirates;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;27,090.3;31,282.8;35,186.2;29,526.6;34,372.4;42,995.2;44,841.2;39,921.6;34,586.5;31,955.2;29,432.8;23,111.4;23,088.2;21,545.5;23,141.0;26,682.8;25,668.5;25,630.1;25,019.4;25,463.5;27,010.7;28,596.5;28,709.2;25,905.8;27,261.9;31,855.5;29,909.0;30,222.0;32,607.4;37,017.7;42,190.6;45,339.6;43,918.4;45,140.8;31,722.6;35,392.3;42,078.6;44,386.8;45,729.6;46,866.0;41,525.1;41,054.5;43,064.0;46,722.3;45,376.2;37,629.2;44,332.3;53,708.0;..
United Kingdom;1,397.6;1,472.4;1,525.8;1,613.5;1,748.3;1,873.6;1,986.7;;2,058.8;1,951.8;2,100.7;2,347.5;2,649.8;3,030.4;3,426.3;3,665.9;4,299.7;4,138.2;4,681.4;5,976.9;7,804.8;10,032.1;9,599.3;9,146.1;8,691.5;8,179.2;8,652.2;10,611.1;13,118.6;15,987.2;16,239.3;19,095.5;19,900.7;20,487.2;18,389.0;19,709.2;23,169.0;24,406.4;26,766.0;28,274.5;28,762.1;28,280.9;27,906.6;30,077.7;34,442.7;40,366.9;42,104.8;44,512.5;50,397.7;47,396.1;38,744.1;39,599.0;42,109.6;42,497.3;43,426.3;47,439.6;44,964.4;40,985.2;40,572.1;43,203.8;42,662.5;40,217.0;46,869.8;46,125.3;..
United States;3,007.1;3,066.6;3,243.8;3,374.5;3,573.9;3,827.5;4,146.3;;4,336.4;4,695.9;5,032.1;5,234.3;5,609.4;6,094.0;6,726.4;7,225.7;7,801.5;8,592.3;9,452.6;10,564.9;11,674.2;12,574.8;13,976.1;14,433.8;15,543.9;17,121.2;18,236.8;19,071.2;20,038.9;21,417.0;22,857.2;23,888.6;24,342.3;25,419.0;26,387.3;27,694.9;28,690.9;29,967.7;31,459.1;32,853.7;34,515.4;36,330.0;37,133.6;37,997.8;39,490.3;41,724.6;44,123.4;46,302.0;48,050.2;48,570.0;47,194.9;48,650.6;50,066.0;51,784.4;53,291.1;55,123.8;56,762.7;57,866.7;59,907.8;62,823.3;65,120.4;63,528.6;70,219.5;76,329.6;..
Uruguay;477.8;624.7;680.3;592.2;743.0;706.3;667.0;;584.6;578.2;722.6;765.9;1,000.6;775.8;1,397.7;1,433.8;1,231.9;1,268.6;1,414.2;1,678.3;2,442.1;3,440.5;3,725.0;3,081.0;1,704.6;1,612.3;1,564.7;1,933.5;2,408.6;2,668.7;2,724.1;2,983.2;3,574.1;4,083.5;4,729.9;5,478.0;6,014.9;6,358.2;7,386.5;7,780.7;7,314.5;6,932.5;6,331.2;4,115.2;3,638.9;4,130.1;5,233.5;5,942.1;7,149.4;9,328.1;9,780.7;12,512.6;14,975.6;16,087.3;18,140.9;18,131.6;16,950.8;16,837.9;18,995.4;19,026.0;18,098.4;15,650.5;17,924.0;20,795.0;..
Uzbekistan;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;651.4;652.8;603.4;597.0;576.4;585.9;600.6;623.0;623.2;702.5;558.2;456.7;383.3;396.4;465.1;546.8;654.3;830.4;1,082.3;1,213.3;1,742.3;2,051.1;2,267.6;2,419.7;2,628.5;2,754.0;2,704.7;1,916.8;1,604.3;1,795.2;1,759.3;1,993.4;2,255.2;..
Vanuatu;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;1,033.9;1,025.6;941.2;925.3;926.2;1,112.5;990.5;926.8;996.5;1,103.3;1,046.4;1,119.3;1,301.6;1,318.5;1,233.4;1,403.1;1,461.4;1,496.0;1,525.0;1,432.6;1,429.9;1,416.2;1,309.0;1,299.2;1,517.3;1,718.3;1,814.8;1,970.9;2,261.5;2,525.1;2,472.5;2,732.6;3,064.8;2,906.3;2,877.4;2,861.2;2,643.9;2,757.2;3,032.2;3,076.8;3,076.6;2,917.8;3,044.6;3,231.4;..
Venezuela, RB;939.6;954.4;1,006.9;1,060.6;874.2;869.9;877.2;;894.7;940.2;934.0;1,018.1;1,109.4;1,158.9;1,371.1;2,039.7;2,084.4;2,316.0;2,592.9;2,735.4;3,266.8;3,886.6;4,241.3;4,214.7;4,091.9;3,531.3;3,560.8;3,388.2;2,620.4;3,203.4;2,258.7;2,461.0;2,642.8;2,918.6;2,835.7;2,699.5;3,500.6;3,125.2;3,726.0;3,886.0;4,087.8;4,795.6;4,940.1;3,667.2;3,243.4;4,287.6;5,456.3;6,769.9;8,369.2;11,310.8;11,641.8;13,692.9;10,877.1;12,937.9;12,434.0;15,975.7;..;..;..;..;..;..;..;..;..
Viet Nam;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;235.7;430.2;585.3;397.0;96.1;96.7;140.6;141.4;185.2;224.6;281.1;329.0;352.9;352.8;367.2;394.6;409.5;434.8;485.5;551.9;693.2;790.6;913.3;1,158.1;1,225.8;1,684.0;1,953.6;2,190.2;2,367.5;2,558.8;2,595.2;2,760.7;2,992.1;3,267.2;3,491.1;3,586.3;3,756.5;4,163.5;..
Virgin Islands (U.S.);..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;30,062.0;31,731.3;35,006.4;40,828.7;41,377.1;44,158.5;39,152.4;38,753.2;39,905.1;38,997.1;37,795.3;34,598.0;33,045.4;34,007.4;35,325.0;35,365.1;36,663.2;38,633.5;39,411.0;41,976.0;..;..
West Bank and Gaza;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1,201.6;1,326.6;1,317.5;1,389.2;1,465.0;1,499.5;1,476.2;1,335.6;1,156.2;1,257.7;1,422.2;1,543.7;1,570.1;1,664.2;2,035.2;2,191.8;2,557.1;2,880.8;3,067.4;3,315.3;3,352.1;3,272.2;3,527.6;3,620.4;3,562.3;3,656.9;3,233.6;3,678.6;3,789.3;..
Yemen, Rep.;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;945.3;1,055.4;1,244.3;1,450.3;1,801.5;794.6;391.0;399.7;359.0;421.7;519.6;514.7;543.9;583.4;668.9;784.8;867.8;956.2;1,153.5;1,045.8;1,249.1;1,284.6;1,350.0;1,497.7;1,557.6;1,488.4;1,069.8;893.7;701.7;693.8;578.5;543.6;650.3;..
Zambia;228.6;216.3;208.6;209.5;236.9;296.0;334.7;;350.7;398.6;472.6;426.3;383.4;414.1;523.4;608.3;495.5;540.0;480.5;521.2;604.1;678.8;679.3;635.4;527.9;419.2;336.8;241.5;319.3;511.2;533.2;427.4;428.5;394.1;395.8;431.5;438.4;404.1;471.2;377.5;353.8;364.0;401.7;399.1;452.3;556.1;720.4;1,065.6;1,133.4;1,393.5;1,150.9;1,469.4;1,644.5;1,729.6;1,840.3;1,724.6;1,307.9;1,249.9;1,495.8;1,475.2;1,268.1;956.8;1,134.7;1,456.9;..
Zimbabwe;276.6;279.3;276.0;277.5;282.4;294.9;279.3;;295.1;302.8;346.5;362.1;406.2;484.0;579.3;674.5;716.9;686.7;676.3;664.4;777.9;947.4;1,067.3;1,094.3;957.8;756.3;648.7;692.1;726.6;816.7;841.6;868.5;832.7;634.4;608.0;634.6;646.8;765.2;750.7;554.4;585.3;565.3;569.0;529.2;474.3;477.4;470.8;441.5;425.0;351.8;762.3;937.8;1,082.6;1,290.2;1,408.4;1,407.0;1,410.3;1,421.8;1,192.1;2,269.2;1,421.9;1,372.7;1,773.9;1,676.8;..
"Created from: World Development Indicators
Series : GDP per capita (current US$)



";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
